希腊语	来源	自 希腊语
穆罕默德	决定 用 钟声 等	召唤 人们 做 礼拜
战争	只 維持	一 个 月
科林 · 皮奇福克	是	英国
苏 非派 的 习俗	敬拜	先知 穆罕默德
量子 数据 的 测量	会 避免 地 改变	数据
这	是	一 份 备受 瞩目 的 困难 任務
微软	合作	与 3Com
中国	爆发	了 疫情
俄罗斯	承认	阿布哈 兹 独立
大量 人士	湧入	香港
李 宗伟	战胜	马来西亚
印度	接种	新冠 疫苗
意大利	也 未 有	一 场 全面 战争 的 准备
连接 巴林 王国	通称	巴林
的 早期 地球	环绕	地球
詹姆斯 · 瓦特	会 放到	一 边
国家	陷入	严重 经济 困境
香港	有	八 间 法定 大学
七 个 国家	没有	河流
今天 凤凰 城	没有	夏令
男性	結紮	的 比例 较少
现代 加拿大	有	超过 2840万 名 用户
海拔	达	900 - 1200 米
法语	丟棄	古 法语 的 格变化
法官	能 解释	憲法 和 法律
香港	应付	世界 经济 不景
Windows 10	将 是	最后 一 版 的 Windows 作業 系统 品牌
其次	是	板球
香港	誉为	华人 娱樂 码 头
新大陸	包括	哥倫布 等 人 所 认为 的 亚洲 东部
穆罕默德	决定	用 钟声 等 召唤 人们 做 礼拜
希腊 文	意为	生命
冬天 的 巴黎	也是	世界 上 第六 大 城市 经 濟体
细菌	残留	在 牙上
硝酸	溅	到 皮肤
今天 的 浦那	经历	以下 三 个 季节
名称	来	自 蒙马特 山丘
该片	创	有史 以来 的 最高 票房 记錄
电 离空 气 及 有 机物	形成	臭氧
德语	是	力度 、 强度
白宮	也称白宮 ) 的 社交 事務 接待	访客 、 民众 与 外宾
穆斯林	有	義 務
北 美	購買	阿拉斯加 州
英国	指派	总督 控制 朝政
现代 加拿大	获得	罗伯特 领地 和 的 控制
香港	有	75% 土地 为 郊区
能量 的 主要 来源	是	太阳
法国	施以	在 统一 的 意大利 统一 战争
政府	維持	基础 建设 、 福利 、 教育 服务 的 能力
波尔克 总统	坚称	墨西哥
该片	被 广泛 认为 是	有史 以来 最 出色 的 动画 电影 之
49,036 美 元	次于	加拿大
这	是	特拉华 州 法律 所
穆斯林	不是	信 或 崇拜 所有 历代 、 各 民族 使者
公司	吸引	客户
了 热月 政变	爆发	法国
歌剧	創作	以 玛 格麗特 · 萨瑟兰 最 杰出
硝酸	影响	产率
这	不仅是	富足 的 标志, 而且 是 文明 的 象征
许多 教堂	包括	圣索菲亚 大 教堂
意大利	加入	其中
英国	声称 拥有	特拉华 河 流域 的 所有
包皮 手术	会 引起	疼痛
的 一 种 舞蹈	属於	安卡拉
拉马努 · 金天	返回	印度
第二 次 世界 大战	使得	英国 和 法国 对 德国 宣战
巴拉圭	是	内陆 国家
意大利	置身	事外
根	是	植物 的 營養 器官
香港	有	42 间 公立 医院 和 公立 醫療 机构
政府	大力 推动	矿产 、 油气 资源 开发
新加坡 共和 国	有	三 巴 旺空 军 基地 及 登加 空军 基
这	也是	塞雷娜 · 威廉 丝 首次 无法 抵达 16 强
这顆 天体	撞击	地球
其中	包含	戏剧 演出 时 的 脚注 和 相关 的 文化 背景
男性	为	78.04%, 女性 为 6232%
中华 人民 共和 国 政府	要求	卡弗蒂 收回 相关 言论 并 向 全体 中国 人民 道歉
英国 的	保护	巴苏陀兰
细胞	包含	的 遗传 資訊
人体	容易 吸收	椰子 汁
原始 月球	开始	背面
哥本 哈根	有	11 间 餐廳
政府	投资	臺 灣 製藥 公司
0加0	是	0
乔治 城大 学 战略 与 国 際 问题 研究 中心	主席	美国
细胞	是	生物 的 基本 单位
患者	需要	到 具有 光疗 设备 的 治疗 中心 接受 治疗
它們	有 遵行	法律
法国 的	成	国际 瞩目 的 焦点 之
穆罕默德 二世	创立	一 座 世界 性 的 城市
英国	保留	各 土邦
白俄罗斯	有	着 未 被 鞑靼 蒙古 侵染 之 意
坦噶尼喀	宣告	独立
安卡拉	成	土耳其 共和 国 的 首都
卡達 政府	进行 裁員	对 石油 产业 及 其他 产业
「 西班牙 流感 」 的	起源	于 堪萨斯 州
萨缪尔 · 芬利 · 布里斯 · 摩尔斯	发明	美国
面积	曾 达到	5350 平方公里
硝酸	具有	氧化 性 和酸
纳粹 德國	开始	策劃 入侵 法国 、 比利时 、 荷兰与 盧森堡
酶	转 成	胸腺 嘧啶
世界 排名 已跌 至 286 名 的 林丹	也是	羽坛 四 大 天王 之 一
苏联	发起	巴格拉 基昂 行动 来 向 白俄罗斯 展開 主動 进攻
的 `` 部分 軌道 轰炸 系统	研製	苏联
苏联	正 处	于 这种 危機
美国	必须 采取	行动
美国	遭受	美国 人 在 战役 中 最 惨痛 的 损失
根	就是	乳头
制作 面包 的 原料	广泛 使用	世界 上
政府	有	对 电视 、 电台 的 华 语 节目
萧伯纳	会 读到	马克思 的 《 資本 论
意大利	正式 加入	轴心 国 进入 第二 次 世界 大战
香港	承办	2008 年 夏季 奥林匹克 运 动 会 马術 比赛
印度	称	英 属 印度
哮喘	也 可以 分 为	外来 的 ) 或 非 特应 性 ( 固有
奥罗 宾	移居	英国
冬天 的 巴黎	是	法國 经济 的 中心
中国 船队	抵达	澳大利亚 大陆
苏联	曾 试著 自行 建立	一 套 类似 的 系统
乙酸	具有	腐蚀 性
德國	受到 阻滯	开始
黑天	混淆	与 印度 教 另外 一 位 神祇
白宮	也称白屋 ) 是	美国 总统 的 官邸 与 主要 办公 的 地方
所有 死者	为	越南
穆罕默德	統合	各个 阿拉伯 部落
穆斯林	相信	先知 们 都是 凡人, 而 不是 神明
澳大利亚 大陆	正式 成 为	同 是 英 语 世界 的 英国 殖民
印度 共和 国	为	世界 第五 大 经济
马赛 城市	延伸	自老 港 向 内陆 区域
潘赛特 大坝 和 哈达夸斯拉 大坝 蓄水	淹没	今天 的 浦那
男性	会 後悔	过 結紮
阿根廷	因 採用	布雷顿 森林 机构 提出 的 经济 政策
莱索托	为	巴苏陀兰
現金	填满	整个 浴缸
P	指上	年 一 月份 保险 费 收入
圣玛丽 教堂 扩建	使得	詹姆斯 · 瓦特
印度 尼西亚	住著	全球 穆斯林 总数 的 15
伊斯 兰 教徒 长期 以来 的 通用 语	是	波斯语
蒙兀儿 帝國 的 村	靠近	拉合尔
国际 奥林匹克 委员 会	会 先说	法语
印度	转 变	由 长期 糧食 短缺
巴基斯坦	被 分割	为 不 相连 的 东
浅层 的 血管 周围	有	细胞
食物	含有	酒精
第二 版	販售	印刷
卡達 政府	加入 反对	奥斯曼 帝国 的 阿拉伯 起义
穆阿迈尔 · 卡扎菲	领导	利比亚
该片	成 为	首部 票房破 1亿 美 元 的 电影
美国	进行	对 墨西哥 政府
该網 站 的 造访 人次	超越	Google
温度	x等 于	0.00007
伯明翰 中心 图书 馆	有	詹姆斯 · 瓦特
法院	行事	公正, 又 独立 自主
道路	要 开 闢新	在 建设 和 改革
政府	采取	措施 保障 法律 实施
美国	没有 支持	伊拉克 南部 人民
统一 的 意大利	已经 结盟 共同 对抗	奥地利 帝國
安卡拉	有	1362 种 天然 植物
香港	取得	第二 面 奥運 会 奖牌
其中 2433 公里	有 铺设	柏油
詹姆斯 · 瓦特	总 是 能 想	新 的 改进 方法
中国 大陆	必定 会 收回	香港
的 物质	溶解	其中
巴西	有	较 大 影响
法语	是	官方 语言 之 一
马赛 城市	逐渐 成 为	基督 教 的 一 个 文化 中心
以下 这些	是	公司
丹麦	宣告	投降
疫苗	提供	在 公立 醫院
先知 穆罕默德	清除	偶像
新加坡 共和 国	通称	星国 、 星洲 、 新加坡 或 星加坡 的 华族 社群
该 项目	进行	独立 审查
丁尼生	传达	向 英國 国内
重量	只 能 造成	物體 掉落
