కనెక్టికట్ రాష్ట్రం	కేంద్రంగా ఉంది	తుపాకీ తయారీకి
మొత్తం భూభాగం	చేస్తుంది	ఆస్ట్రేలియాను
అబ్రహం	లింకన్‌కు	పదంపై తగినంత అవగాహన
షాంఘై	నిర్వహించడానికి	సానుకూల వార్షిక వృద్ధి రేటుతో ఆర్థిక ఉత్పత్తిని
స్కైఫాల్	అందిస్తుంది	జుడి డెంచ్‌కు తగిన పాత్రను
ఓ ఉమర్‌ను	పరిగణిస్తారు	సున్నీ ముస్లింలు గొప్ప ఫకీహ్‌లలో ఒకరిగా
ప్రపంచ బ్యాంకు	సహాయం	పరాగ్వేకు
అరేబియా	దాక్కున్న	వాయువ్య పాకిస్థాన్‌లో
ఆరోన్ హిల్లెల్ స్వార్ట్జ్	జన్మించాడు	హైలాండ్ పార్క్‌లో
ఫేస్‌బుక్	తొలగించింది	మయన్మార్ మిలిటరీ మయన్మార్ మిలిటరీకి సంబంధించిన ప్రధాన పేజీని
పాకిస్థాన్‌	పరిపాలించింది	ఆజాద్‌ కాశ్మీర్‌ సమస్యను
ఆకుపచ్చ	లెక్కించబడలేదు	గ్రీక్ పెయింటింగ్ యొక్క నాలుగు క్లాసిక్ రంగులలో
యునైటెడ్	స్టేట్స్	చర్యలపై "ఆసక్తి లేదు
బ్రిటీష్	తీసుకున్నారు	మైసూర్‌ను నేరుగా తమ ఆధీనంలోకి
గురు తేజ్ బహదూర్	పెరిగారు	సిక్కు సంస్కృతిలో
విలియం జెఫెర్సన్ క్లింటన్	వ్యతిరేకించాడు	వియత్నాం యుద్ధాన్ని
జాన్ ఆడమ్స్	ఎదగలేదు	15 ఏళ్ల అబిగైల్ స్మిత్‌కు దగ్గరగా
ఇటలీ	వచ్చింది	EU సెటిల్‌మెంట్ పథకం నుండి
అరుండో డోనాక్స్	పెరుగుతుంది	20 నుండి 25 సంవత్సరాల వరకు
మిస్సిస్సిప్పి నదికి పశ్చిమాన ఉన్న మిన్నెసోటా	కలిగి	ఉత్తర అమెరికాలో అలస్కా వెలుపల కలప తోడేళ్ళ యొక్క అతిపెద్ద జనాభాను
Nadine Gordimer	కలిగి	కొన్ని కల్పిత సంఘటనలను
సబ్-సహారా ఆఫ్రికాలో అత్యంత పొడిగా ఉన్న దేశం	కలిగి	సబ్-సహారా ఆఫ్రికాలోని ఏ దేశం కంటే తక్కువ వర్షపాతం
థెరవాడ	బౌద్ధమతం	కంబోడియా యొక్క అధికారిక మతం (కంపూచియా కూడా
అలీ ఇబ్న్ అబీ తాలిబ్	ఉన్నాడు	స్వీయ-స్పష్టంగా
లూయిస్	పాశ్చర్	పారిస్ లూయిస్ పాశ్చర్‌లోని పాశ్చర్ ఇన్స్టిట్యూట్ డైరెక్టర్
యునైటెడ్ స్టేట్స్ ఆర్మీ	సురక్షితం	వ్యూహాత్మక సియా లా మరియు బిలాఫాండ్ లా పర్వత మార్గాలను
చక్రవర్తి రాజగోపాలాచారి	ప్రారంభించాడు	భారత జాతీయ కాంగ్రెస్లో చేరి స్వాతంత్ర్యోద్యమంలో పాల్గొనడం
అంతర్జాతీయ అనువాద దినోత్సవం	నిర్వహించబడుతుంది	ప్రతి సంవత్సరం సెప్టెంబరు 30న
అరుండో డోనాక్స్	అనేది	అరుండినాయిడే ఉపకుటుంబంలో పొడవైన, శాశ్వతమైన గడ్డి
విక్టోరియా జలపాతం	కలిగి	అంతర్జాతీయ పర్యాటకుల కంటే ఎక్కువ జింబాబ్వే మరియు జాంబియన్ సందర్శకులను
చార్లెస్ - ఎడ్వార్డ్ జీన్నెరెట్	వివరించాడు	మూడు వేర్వేరు ఫర్నిచర్ రకాలను
DNA	కలిగి	సమాచారాన్ని
మౌంట్ కానోపస్ లేదా కానోపస్ హిల్	సంబంధం కలిగి ఉంటుంది	ఋషితో
లూనార్ సొసైటీ	గుర్తించింది	జోసెఫ్ ప్రీస్ట్లీని
జార్జ్ బెర్నార్డ్ షా	అభివృద్ధి	హానికరమైన రక్తహీనతను
కూర్మం	పేర్కొనబడింది	రెండవ దశావతారాలుగా
